,word,topic_id,importance,word_count
0,bgt,0,0.01970062,157
1,warna,0,0.017971568,357
2,pas,0,0.008067264,134
3,kirim,0,0.006664736,935
4,diskon,0,0.0065687117,42
5,dapet,0,0.005990191,79
6,sale,0,0.005946524,52
7,tp,0,0.0058211996,89
8,putih,0,0.0058116256,41
9,bangett,0,0.0054994267,32
10,moga,1,0.06079891,856
11,awet,1,0.05389299,771
12,bagus,1,0.038018532,927
13,banget,1,0.026714053,415
14,barang,1,0.022532422,1157
15,coba,1,0.017139202,260
16,warna,1,0.01502847,357
17,fungsi,1,0.013087728,302
18,ya,1,0.012541875,230
19,kirim,1,0.012516289,935
20,barang,2,0.06659079,1157
21,kirim,2,0.057764646,935
22,produk,2,0.05320057,664
23,cepat,2,0.04968552,618
24,sesuai,2,0.03088829,465
25,bagus,2,0.02948903,927
26,kualitas,2,0.02444589,299
27,aman,2,0.020851983,395
28,original,2,0.020420423,261
29,harga,2,0.019857923,334
